Name,Brand,Category,Price,Color,Size,Date
Oversized Wool Coat,Max Mara,Outerwear,795,Camel,M,2025-09-01
Black Leather Loafers,Tod's,Shoes,525,Black,39,2025-09-01
Wide-Leg Trousers,The Row,Bottoms,690,Charcoal,29,2025-08-15
Cashmere Turtleneck,Loro Piana,Tops,850,Ivory,S,2025-08-15
Silk Midi Skirt,Vince,Bottoms,295,Navy,S,2025-08-15
Structured Blazer,Saint Laurent,Outerwear,2490,Black,36,2025-07-20
White Button-Down Shirt,Equipment,Tops,198,White,XS,2025-07-20
Suede Ankle Boots,Isabel Marant,Shoes,695,Taupe,38,2025-07-10
Leather Shoulder Bag,Celine,Accessories,2800,Cognac,One Size,2025-06-25
Gold Chain Necklace,Mejuri,Jewelry,128,Gold,One Size,2025-06-25
Straight Leg Jeans,Totême,Bottoms,260,Dark Wash,28,2025-06-15
Ribbed Cotton Tank,Skin,Tops,76,Black,S,2025-06-15
Linen Blazer,Frankie Shop,Outerwear,345,Sand,M,2025-05-30
Knit Midi Dress,Khaite,Dresses,1280,Cream,S,2025-05-30
Leather Belt,Hermès,Accessories,890,Brown,75,2025-05-20
Slingback Pumps,The Row,Shoes,990,Black,39,2025-05-20
Oversized Cardigan,Jil Sander,Tops,750,Oatmeal,M,2025-05-05
Pleated Midi Skirt,COS,Bottoms,125,Olive,S,2025-05-05
Silk Camisole,Anine Bing,Tops,149,Champagne,XS,2025-04-22
Leather Crossbody,Mansur Gavriel,Accessories,495,Black,One Size,2025-04-22
