Name,Brand,Category,Price,Color,Size,Image,Date
Tailored Wool Blazer,Massimo Dutti,Outerwear,245,Camel,M,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?w=400&h=400&fit=crop,2025-09-15
Wide-Leg Linen Trousers,COS,Bottoms,135,Ivory,28,https://images.unsplash.com/photo-1624378439575-d8705ad7ae80?w=400&h=400&fit=crop,2025-09-15
Silk Camisole,Vince,Tops,185,Champagne,S,https://images.unsplash.com/photo-1578587018452-892bacefd3f2?w=400&h=400&fit=crop,2025-09-15
Cashmere Crew Neck Sweater,Everlane,Tops,120,Oatmeal,M,https://images.unsplash.com/photo-1578662996442-48f60103fc96?w=400&h=400&fit=crop,2025-08-22
Leather Crossbody Bag,Polène,Accessories,350,Tan,One Size,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=400&h=400&fit=crop,2025-08-22
Chelsea Ankle Boots,Acne Studios,Shoes,450,Black,38,https://images.unsplash.com/photo-1543163521-1bf539c55dd2?w=400&h=400&fit=crop,2025-07-10
Silk Slip Dress,Reformation,Dresses,218,Sage Green,S,https://images.unsplash.com/photo-1515372039744-b8f02a3ae446?w=400&h=400&fit=crop,2025-07-10
Ribbed Knit Tank,& Other Stories,Tops,45,White,S,https://images.unsplash.com/photo-1578587018452-892bacefd3f2?w=400&h=400&fit=crop,2025-06-20
Classic Trench Coat,Burberry,Outerwear,1295,Beige,8,https://images.unsplash.com/photo-1551028719-00167b16eac5?w=400&h=400&fit=crop,2025-06-20
Gold Hoop Earrings,Mejuri,Jewelry,98,Gold,One Size,,2025-05-15
